,course_names,times,dates,weekdays,available,barcode,links,link_type
0,EXPRESS (45 min) WORKOUT SESSION,6:30AM-7:15AM,2021-Sep-21,1,0,17421,0,0
1,Women ONLY WORKOUT SESSION,7:30AM-9:00AM,2021-Sep-21,1,0,15966,0,0
2,WORKOUT SESSION,8:00AM-9:15AM,2021-Sep-21,1,0,15870,0,0
3,MNT WORKOUT SESSION,9:30AM-11:00AM,2021-Sep-21,1,0,15942,0,0
4,WORKOUT SESSION,10:00AM-11:15AM,2021-Sep-21,1,2,15871,0,0
5,MNT WORKOUT SESSION,11:30AM-1:00PM,2021-Sep-21,1,0,15943,0,0
6,WORKOUT SESSION,12:00PM-1:15PM,2021-Sep-21,1,0,15872,0,0
7,MNT WORKOUT SESSION,1:30PM-3:00PM,2021-Sep-21,1,0,15944,0,0
8,WORKOUT SESSION,2:00PM-3:15PM,2021-Sep-21,1,0,15873,0,0
9,MNT WORKOUT SESSION,3:30PM-5:00PM,2021-Sep-21,1,0,17347,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20626~0~0~0~0~0,Waitlist
10,WORKOUT SESSION,4:00PM-5:15PM,2021-Sep-21,1,0,15874,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19153~0~0~0~0~0,Waitlist
11,MNT WORKOUT SESSION,5:30PM-7:00PM,2021-Sep-21,1,0,17348,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20627~0~0~0~0~0,Waitlist
12,WORKOUT SESSION,6:00PM-7:15PM,2021-Sep-21,1,0,15875,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19154~0~0~0~0~0,Waitlist
13,MNT WORKOUT SESSION,7:30PM-9:00PM,2021-Sep-21,1,0,17349,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20628~0~0~0~0~0,Waitlist
14,WORKOUT SESSION,8:00PM-9:15PM,2021-Sep-21,1,0,17436,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20715~0~0~0~0~0,Waitlist
15,EXPRESS (45 min) WORKOUT SESSION,6:30AM-7:15AM,2021-Sep-22,2,0,17422,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20701~0~0~0~0~0,Waitlist
16,MNT WORKOUT SESSION,7:30AM-9:00AM,2021-Sep-22,2,0,15945,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19224~0~0~0~0~0,Waitlist
17,WORKOUT SESSION,8:00AM-9:15AM,2021-Sep-22,2,0,15876,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19155~0~0~0~0~0,Waitlist
18,MNT WORKOUT SESSION,9:30AM-11:00AM,2021-Sep-22,2,0,15946,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19225~0~0~0~0~0,Waitlist
19,WORKOUT SESSION,10:00AM-11:15AM,2021-Sep-22,2,0,15877,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19156~0~0~0~0~0,Waitlist
20,EMPLOYEE ONLY WORKOUT SESSION,11:30AM-1:00PM,2021-Sep-22,2,19,15947,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19226~0~0~0~0~0,Add
21,WORKOUT SESSION,12:00PM-1:15PM,2021-Sep-22,2,0,15878,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19157~0~0~0~0~0,Waitlist
22,MNT WORKOUT SESSION,1:30PM-3:00PM,2021-Sep-22,2,0,17350,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20629~0~0~0~0~0,Waitlist
23,WORKOUT SESSION,2:00PM-3:15PM,2021-Sep-22,2,0,15879,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19158~0~0~0~0~0,Waitlist
24,MNT WORKOUT SESSION,3:30PM-5:00PM,2021-Sep-22,2,0,17351,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20630~0~0~0~0~0,Waitlist
25,WORKOUT SESSION,4:00PM-5:15PM,2021-Sep-22,2,0,15880,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19159~0~0~0~0~0,Waitlist
26,MNT WORKOUT SESSION,5:30PM-7:00PM,2021-Sep-22,2,0,17352,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20631~0~0~0~0~0,Waitlist
27,WORKOUT SESSION,6:00PM-7:15PM,2021-Sep-22,2,0,15881,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~19160~0~0~0~0~0,Waitlist
28,MNT WORKOUT SESSION,7:30PM-9:00PM,2021-Sep-22,2,0,17353,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20632~0~0~0~0~0,Waitlist
29,WORKOUT SESSION,8:00PM-9:15PM,2021-Sep-22,2,0,17437,../MyBasket/MyBasket.asp?Type=1&AddCourse=316~20716~0~0~0~0~0,Waitlist
30,EXPRESS (45 min) WORKOUT SESSION,6:30AM-7:15AM,2021-Sep-23,3,40,17423,0,0
31,MNT WORKOUT SESSION,7:30AM-9:00AM,2021-Sep-23,3,20,15948,0,0
32,WORKOUT SESSION,8:00AM-9:15AM,2021-Sep-23,3,40,15882,0,0
33,MNT WORKOUT SESSION,9:30AM-11:00AM,2021-Sep-23,3,20,15949,0,0
34,WORKOUT SESSION,10:00AM-11:15AM,2021-Sep-23,3,40,15883,0,0
35,MNT WORKOUT SESSION,11:30AM-1:00PM,2021-Sep-23,3,20,15950,0,0
36,WORKOUT SESSION,12:00PM-1:15PM,2021-Sep-23,3,40,15884,0,0
37,MNT WORKOUT SESSION,1:30PM-3:00PM,2021-Sep-23,3,20,17354,0,0
38,WORKOUT SESSION,2:00PM-3:15PM,2021-Sep-23,3,40,15885,0,0
39,MNT WORKOUT SESSION,3:30PM-5:00PM,2021-Sep-23,3,20,17355,0,0
40,WORKOUT SESSION,4:00PM-5:15PM,2021-Sep-23,3,40,15886,0,0
41,MNT WORKOUT SESSION,5:30PM-7:00PM,2021-Sep-23,3,20,17356,0,0
42,WORKOUT SESSION,6:00PM-7:15PM,2021-Sep-23,3,40,15887,0,0
43,MNT WORKOUT SESSION,7:30PM-9:00PM,2021-Sep-23,3,20,17357,0,0
44,WORKOUT SESSION,8:00PM-9:15PM,2021-Sep-23,3,40,17438,0,0
45,EXPRESS (45 min) WORKOUT SESSION,6:30AM-7:15AM,2021-Sep-24,4,40,17424,0,0
46,Women ONLY WORKOUT SESSION,7:30AM-9:00AM,2021-Sep-24,4,10,15967,0,0
47,WORKOUT SESSION,8:00AM-9:15AM,2021-Sep-24,4,40,15888,0,0
48,MNT WORKOUT SESSION,9:30AM-11:00AM,2021-Sep-24,4,20,15951,0,0
49,WORKOUT SESSION,10:00AM-11:15AM,2021-Sep-24,4,40,15889,0,0
50,EMPLOYEE ONLY WORKOUT SESSION,11:30AM-1:00PM,2021-Sep-24,4,25,15952,0,0
51,WORKOUT SESSION,12:00PM-1:15PM,2021-Sep-24,4,40,15890,0,0
52,MNT WORKOUT SESSION,1:30PM-3:00PM,2021-Sep-24,4,20,15953,0,0
53,WORKOUT SESSION,2:00PM-3:15PM,2021-Sep-24,4,40,15891,0,0
54,MNT WORKOUT SESSION,3:30PM-5:00PM,2021-Sep-24,4,20,17358,0,0
55,WORKOUT SESSION,4:00PM-5:15PM,2021-Sep-24,4,40,15892,0,0
56,MNT WORKOUT SESSION,5:30PM-7:00PM,2021-Sep-24,4,20,17359,0,0
57,WORKOUT SESSION,6:00PM-7:15PM,2021-Sep-24,4,40,15893,0,0
58,MNT WORKOUT SESSION,7:30PM-9:00PM,2021-Sep-24,4,20,17360,0,0
59,WORKOUT SESSION,8:00PM-9:15PM,2021-Sep-24,4,40,17439,0,0
